"date","year","month","day","service","pre_percentage","timepoint","traffic","day_number"
2020-03-20,2020,3,20,"BridgesAndTunnels",61,"current",563261,38
2020-03-20,2020,3,20,"BridgesAndTunnels",61,"pre_est",923378.68852459,39
2020-03-20,2020,3,20,"SIRailway",20,"current",3124,38
2020-03-20,2020,3,20,"SIRailway",20,"pre_est",15620,39
2020-03-21,2020,3,21,"Subway",20,"current",619618,40
2020-03-21,2020,3,21,"Subway",20,"pre_est",3098090,41
2020-03-21,2020,3,21,"Bus",31,"current",411491,40
2020-03-21,2020,3,21,"Bus",31,"pre_est",1327390.32258065,41
2020-03-21,2020,3,21,"LIRR",12,"current",12438,40
2020-03-21,2020,3,21,"LIRR",12,"pre_est",103650,41
2020-03-21,2020,3,21,"MetroNorth",17,"current",23700,40
2020-03-21,2020,3,21,"MetroNorth",17,"pre_est",139411.764705882,41
2020-03-21,2020,3,21,"AccessARide",38,"current",6467,40
2020-03-21,2020,3,21,"AccessARide",38,"pre_est",17018.4210526316,41
2020-03-21,2020,3,21,"BridgesAndTunnels",44,"current",382992,40
2020-03-21,2020,3,21,"BridgesAndTunnels",44,"pre_est",870436.363636364,41
2020-03-21,2020,3,21,"SIRailway",21,"current",1044,40
2020-03-21,2020,3,21,"SIRailway",21,"pre_est",4971.42857142857,41
2020-03-22,2020,3,22,"Subway",18,"current",408723,42
2020-03-22,2020,3,22,"Subway",18,"pre_est",2270683.33333333,43
2020-03-22,2020,3,22,"Bus",7,"current",73517,42
2020-03-22,2020,3,22,"Bus",7,"pre_est",1050242.85714286,43
2020-03-22,2020,3,22,"LIRR",10,"current",8891,42
2020-03-22,2020,3,22,"LIRR",10,"pre_est",88910,43
2020-03-22,2020,3,22,"MetroNorth",22,"current",20830,42
2020-03-22,2020,3,22,"MetroNorth",22,"pre_est",94681.8181818182,43
2020-03-22,2020,3,22,"AccessARide",27,"current",4824,42
2020-03-22,2020,3,22,"AccessARide",27,"pre_est",17866.6666666667,43
2020-03-22,2020,3,22,"BridgesAndTunnels",34,"current",277050,42
2020-03-22,2020,3,22,"BridgesAndTunnels",34,"pre_est",814852.94117647,43
2020-03-22,2020,3,22,"SIRailway",20,"current",641,42
2020-03-22,2020,3,22,"SIRailway",20,"pre_est",3205,43
2020-03-23,2020,3,23,"Subway",13,"current",709499,44
2020-03-23,2020,3,23,"Subway",13,"pre_est",5457684.61538462,45
2020-03-23,2020,3,23,"Bus",3,"current",59321,44
2020-03-23,2020,3,23,"Bus",3,"pre_est",1977366.66666667,45
2020-03-23,2020,3,23,"LIRR",10,"current",30564,44
2020-03-23,2020,3,23,"LIRR",10,"pre_est",305640,45
2020-03-23,2020,3,23,"MetroNorth",51,"current",139285,44
2020-03-23,2020,3,23,"MetroNorth",51,"pre_est",273107.843137255,45
2020-03-23,2020,3,23,"AccessARide",33,"current",9902,44
2020-03-23,2020,3,23,"AccessARide",33,"pre_est",30006.0606060606,45
2020-03-23,2020,3,23,"BridgesAndTunnels",39,"current",361513,44
2020-03-23,2020,3,23,"BridgesAndTunnels",39,"pre_est",926956.41025641,45
2020-03-23,2020,3,23,"SIRailway",10,"current",1639,44
2020-03-23,2020,3,23,"SIRailway",10,"pre_est",16390,45
2020-03-24,2020,3,24,"Subway",13,"current",741587,46
2020-03-24,2020,3,24,"Subway",13,"pre_est",5704515.38461538,47
2020-03-24,2020,3,24,"Bus",3,"current",60334,46
2020-03-24,2020,3,24,"Bus",3,"pre_est",2011133.33333333,47
2020-03-24,2020,3,24,"LIRR",10,"current",29785,46
2020-03-24,2020,3,24,"LIRR",10,"pre_est",297850,47
2020-03-24,2020,3,24,"MetroNorth",50,"current",139194,46
2020-03-24,2020,3,24,"MetroNorth",50,"pre_est",278388,47
2020-03-24,2020,3,24,"AccessARide",31,"current",9133,46
2020-03-24,2020,3,24,"AccessARide",31,"pre_est",29461.2903225806,47
2020-03-24,2020,3,24,"BridgesAndTunnels",43,"current",395493,46
2020-03-24,2020,3,24,"BridgesAndTunnels",43,"pre_est",919751.162790698,47
2020-03-24,2020,3,24,"SIRailway",11,"current",1727,46
2020-03-24,2020,3,24,"SIRailway",11,"pre_est",15700,47
2020-03-25,2020,3,25,"Subway",12,"current",690032,48
2020-03-25,2020,3,25,"Subway",12,"pre_est",5750266.66666667,49
2020-03-25,2020,3,25,"Bus",2,"current",51769,48
2020-03-25,2020,3,25,"Bus",2,"pre_est",2588450,49
2020-03-25,2020,3,25,"LIRR",8,"current",26143,48
2020-03-25,2020,3,25,"LIRR",8,"pre_est",326787.5,49
2020-03-25,2020,3,25,"MetroNorth",50,"current",138239,48
2020-03-25,2020,3,25,"MetroNorth",50,"pre_est",276478,49
2020-03-25,2020,3,25,"AccessARide",32,"current",9512,48
2020-03-25,2020,3,25,"AccessARide",32,"pre_est",29725,49
2020-03-25,2020,3,25,"BridgesAndTunnels",41,"current",375767,48
2020-03-25,2020,3,25,"BridgesAndTunnels",41,"pre_est",916504.87804878,49
2020-03-25,2020,3,25,"SIRailway",10,"current",1572,48
2020-03-25,2020,3,25,"SIRailway",10,"pre_est",15720,49
2020-03-26,2020,3,26,"Subway",12,"current",680360,50
2020-03-26,2020,3,26,"Subway",12,"pre_est",5669666.66666667,51
2020-03-26,2020,3,26,"Bus",2,"current",49970,50
2020-03-26,2020,3,26,"Bus",2,"pre_est",2498500,51
2020-03-26,2020,3,26,"LIRR",8,"current",23809,50
2020-03-26,2020,3,26,"LIRR",8,"pre_est",297612.5,51
2020-03-26,2020,3,26,"MetroNorth",50,"current",138668,50
2020-03-26,2020,3,26,"MetroNorth",50,"pre_est",277336,51
2020-03-26,2020,3,26,"AccessARide",30,"current",8795,50
2020-03-26,2020,3,26,"AccessARide",30,"pre_est",29316.6666666667,51
2020-03-26,2020,3,26,"BridgesAndTunnels",42,"current",390117,50
2020-03-26,2020,3,26,"BridgesAndTunnels",42,"pre_est",928850,51
2020-03-26,2020,3,26,"SIRailway",10,"current",1563,50
2020-03-26,2020,3,26,"SIRailway",10,"pre_est",15630,51
2020-03-27,2020,3,27,"Subway",12,"current",656817,52
2020-03-27,2020,3,27,"Subway",12,"pre_est",5473475,53
2020-03-27,2020,3,27,"Bus",2,"current",45514,52
2020-03-27,2020,3,27,"Bus",2,"pre_est",2275700,53
2020-03-27,2020,3,27,"LIRR",6,"current",20355,52
2020-03-27,2020,3,27,"LIRR",6,"pre_est",339250,53
2020-03-27,2020,3,27,"MetroNorth",50,"current",138903,52
2020-03-27,2020,3,27,"MetroNorth",50,"pre_est",277806,53
2020-03-27,2020,3,27,"AccessARide",28,"current",8409,52
2020-03-27,2020,3,27,"AccessARide",28,"pre_est",30032.1428571429,53
2020-03-27,2020,3,27,"BridgesAndTunnels",43,"current",396777,52
2020-03-27,2020,3,27,"BridgesAndTunnels",43,"pre_est",922737.209302326,53
2020-03-27,2020,3,27,"SIRailway",9,"current",1495,52
2020-03-27,2020,3,27,"SIRailway",9,"pre_est",16611.1111111111,53
2020-03-28,2020,3,28,"Subway",11,"current",332393,54
2020-03-28,2020,3,28,"Subway",11,"pre_est",3021754.54545455,55
2020-03-28,2020,3,28,"Bus",1,"current",19745,54
2020-03-28,2020,3,28,"Bus",1,"pre_est",1974500,55
2020-03-28,2020,3,28,"LIRR",5,"current",5279,54
